ID	Item	Cooccurrences	Candidates	T-score	MI	LogDice
260	market-n	9	5047	2.96567	6.44934	5.698
261	offer-v	3	1260	1.71721	6.86638	5.69774
262	also-a	10	5684	3.1256	6.42986	5.69668
263	sector-n	3	1280	1.71697	6.84366	5.68259
264	go-v	8	4478	2.79612	6.45199	5.68033
265	look-v	4	1967	1.97993	6.63885	5.65515
266	cost-n	4	1998	1.97961	6.61629	5.63806
267	oil-n	3	1617	1.713	6.50649	5.44861
268	global-j	3	1622	1.71294	6.50203	5.44541
269	case-n	3	1623	1.71293	6.50114	5.44477
270	as-a	5	3168	2.20716	6.2732	5.42939
271	become-v	4	2432	1.97519	6.3327	5.41786
272	much-a	3	1669	1.71239	6.46082	5.41566
273	most-a	3	1732	1.71165	6.40737	5.37673
274	world-n	4	2646	1.973	6.21103	5.32052
275	US-n	3	1832	1.71047	6.32639	5.31701
276	other-j	6	4323	2.41348	6.08777	5.30971
277	more-j	8	6023	2.78497	6.02436	5.29934
278	three-m	3	1900	1.70967	6.27381	5.27776
279	debt-n	3	1965	1.7089	6.22528	5.24122
280	such-j	3	1994	1.70856	6.20414	5.22521
281	add-v	3	2015	1.70831	6.18903	5.21373
282	money-n	3	2028	1.70816	6.17975	5.20667
283	job-n	3	2064	1.70773	6.15436	5.18729
284	many-j	4	3167	1.96769	5.95173	5.10784
285	think-v	3	2263	1.70539	6.02157	5.08462
286	pay-v	3	2446	1.70323	5.90938	4.99625
287	say-v	23	23079	4.69763	5.6099	4.99017
288	first-j	3	2483	1.7028	5.88772	4.97902
289	financial-j	3	2608	1.70132	5.81686	4.92229
290	way-n	3	2636	1.70099	5.80145	4.90989
291	not-a	15	16104	3.78813	5.51239	4.87605
292	big-j	3	2909	1.69778	5.65928	4.79421
293	people-n	4	4869	1.95032	5.33122	4.574
294	do-v	7	10278	2.56648	5.06071	4.39373
295	new-j	3	5448	1.66786	4.75408	4.01463
