id	date	text
30	2007-03-20	Brown set an inflation target for the Bank to meet, allowing a one percentage point deviation on either side before the governor would have to write an explanatory letter."
31	2007-03-20	Yellowcake is trading at $90 a pound, nearing the record high, adjusted for inflation , of about $120 in the mid-1970s."
32	2007-03-20	During that time, economic growth averaged 6 percent a year while inflation often remained below 3 percent."
33	2007-03-20	Mohammad Abu-Ghazaleh, 65, the chief executive, spoke recently about price inflation , focusing on new markets in the Middle East and Africa and the around-the-world business trips his job requires."
34	2007-03-20	Farmland''s traditional investment appeal includes steady income from rents, along with appreciation that has tended to run ahead of inflation ."
35	2007-03-20	Farmland''s traditional investment appeal includes steady income from rents, along with appreciation that has tended to run ahead of inflation ."
36	2007-03-20	Yellowcake is trading at $90 a pound, nearing the record high, adjusted for inflation , of about $120 in the mid-1970s."
37	2007-03-20	During that time, economic growth averaged 6 percent a year while inflation often remained below 3 percent."
38	2007-03-20	Mohammad Abu-Ghazaleh, 65, the chief executive, spoke recently about price inflation , focusing on new markets in the Middle East and Africa and the around-the-world business trips his job requires."
39	2007-04-20	Milton Friedman updated the theory and made it the central theory of monetarism . He argued that any increase in the money supply would lead to inflation , and increases in nominal wages, but have no effect on output and employment."
40	2007-04-20	The City believes an interest rate rise next month is a certainty, with some analysts talking about a possible half-point increase to combat rising inflation ."
41	2007-04-20	This week''s announcement that inflation , as measured by the consumer prices index, had risen to 3.1% spooked the money markets, with ""swap rates"" - which determine the pricing of fixed-rate deals - rising to their highest level this year."
42	2007-04-20	Higher borrowing costs will continue to slow house price inflation in 2007 with those on variable rate deals feeling the strain."""
43	2007-04-20	The spectre that''s worrying the Bank of England is a wage/price inflation spiral."
44	2007-04-20	I think [Bank governor] Mervyn King will go for aggressive measures to batten down inflation ."
45	2007-04-20	Another half percentage point rise [in interest rates] is good news if it has the effect of pulling price inflation down to a more sustainable level ... The bottom line is that the market cannot keep going at 10%; it needs to be in line with earnings inflation,"" said John Watson, chief executive of Bellway, Britain''s fifth-largest house builder. · Lenders are taking ever more desperate measures to enable buyers to afford sky-high prices."
46	2007-04-20	Another half percentage point rise [in interest rates] is good news if it has the effect of pulling price inflation down to a more sustainable level ... The bottom line is that the market cannot keep going at 10%; it needs to be in line with earnings inflation ,"" said John Watson, chief executive of Bellway, Britain''s fifth-largest house builder. · Lenders are taking ever more desperate measures to enable buyers to afford sky-high prices."
47	2007-04-20	The RPI is an inflation measure."
48	2007-04-20	The pound''s rise this morning was prompted by stronger-than-expected data on inflation in Britain''s factories."
49	2007-04-20	The consumer inflation data is out on Tuesday and this has been long-awaited by the Bank of England, which is widely expected to raise rates at the May meeting after doing nothing in April."
50	2007-04-20	Poor people in Mexico have protested against the higher prices, and now China and India are starting to suffer from food inflation ."
51	2007-04-20	Buyers may also choose optional features, including inflation protection and a withdrawal benefit in an emergency."
52	2007-04-20	It is always good to diversify investments, she said, adding, "" Inflation is my No. 1 fear, so I would want some TIPS,"" or Treasury inflation-protected securities."
53	2007-05-20	In which context he praised Mervyn King, the current governor of the Bank of England, for attaching great weight to inflation expectations, and was especially interesting in commenting on the criticism he had received in the Eighties for describing inflation as ''a blip'' (when it turned out not to be) and as the ''judge and jury'' (of monetary policy)."
54	2007-05-20	In which context he praised Mervyn King, the current governor of the Bank of England, for attaching great weight to inflation expectations, and was especially interesting in commenting on the criticism he had received in the Eighties for describing inflation as ''a blip'' (when it turned out not to be) and as the ''judge and jury'' (of monetary policy)."
55	2007-05-20	But the fact of the matter was that, on the inflation front, Chancellor Lawson ran into trouble."
56	2007-05-20	His failure to control inflation expectations, along with the ''Lawson boom'' and the troubles with Thatcher and Walters, became the first draft of the history of his Chancellorship."
57	2007-05-20	The focus of Walters''s criticisms was the former Chancellor''s obsession with the ERM, but it sounds as though, if Walters had been more aware of Lawson''s real strategy - temporary ERM membership to cure inflation - things might have turned out differently."
58	2007-05-20	''If you look at past cycles, you understand a great deal more, not least about inflation .''"
59	2007-05-20	Perhaps I was excessively concerned with the problems of inflation at the expense of doing more on the supply side.''"
60	2007-05-20	For measuring inflation before 1914 the Office for National Statistics has a yardstick that goes back to 1750 based on sources including the cost of wheat, account books for alms houses and naval purchasing records."
61	2007-05-20	The all-items RPI stood the test of time until the 1970s, when inflation took off, peaking at 27% in 1975."
62	2007-05-20	The thinking was that when policy makers put up interest rates to combat inflation , the immediate impact of the move was to push up the all-items RPI, adding to the risks of a wage-price spiral."
63	2007-05-20	When Norman Lamont announced the first inflation target in 1992, he chose RPI(X), which remained the benchmark until 2003, when the Bank of England was told to target the consumer prices index (CPI) - an internationally agreed measure that excludes all owner-occupied housing costs."
64	2007-05-20	In its half-yearly health check on the global economy, the Paris-based Organisation for Economic Cooperation and Development said it expected inflation , as measured by the consumer prices index, to drop back to its 2% target this year but warned the Bank to ""remain vigilant""."
65	2007-05-20	The rise, coming just days after the monetary policy committee celebrated its 10th birthday, was accompanied by a statement from the committee saying there were ""upside risks"" to inflation in the coming months."
66	2007-05-20	However, it expected consumer price inflation to slow towards its 2% target as last year''s rises in gas and electricity bills fall out of the figures."
67	2007-05-20	 Inflation , as measured by the consumer price index, rose to a record high of 3.1% in March, forcing the Bank''s governor, Mervyn King, to write an open letter to Gordon Brown explaining why it had strayed more than a percentage point away from its government-set target."
68	2007-05-20	The MPC also pointed to strong economic growth, a rapid rise in money supply growth and the re-emergence of pricing power among firms, something that could keep inflation high."
69	2007-05-20	While we fully accept the need for today''s rate rise, we see no reason for a further increase at present, as the impact of the 1% increase in rates since last August should be sufficient to keep inflation pressures into 2008 under control,"" said Ian McCafferty, chief economist at the CBI."
70	2007-05-20	Big cuts in gas and electricity prices are now coming through and we can be confident that CPI inflation will fall back towards the 2% target."
71	2007-05-20	The case for Blair is that the economy has grown in a steady and uninterrupted manner for a decade, with falling unemployment, low inflation and rising living standards."
72	2007-05-20	This figure alone gives the lie to the notion that Britain under Labour has cracked the age-old problem of inflation , since a trade deficit is merely disguised inflation, evidence of excess demand that can only be met through imports."
73	2007-05-20	This figure alone gives the lie to the notion that Britain under Labour has cracked the age-old problem of inflation, since a trade deficit is merely disguised inflation , evidence of excess demand that can only be met through imports."
74	2007-05-20	Because there used to be a higher rate of inflation ,"" says Wilcox, ""one might start off paying 30-40% of one''s income in mortgage, but as earnings were rising with inflation, and inflation was quite high, the mortgage cost-to-income ratio declined very rapidly - within about five years you could relax, or have children."
75	2007-05-20	Because there used to be a higher rate of inflation,"" says Wilcox, ""one might start off paying 30-40% of one''s income in mortgage, but as earnings were rising with inflation , and inflation was quite high, the mortgage cost-to-income ratio declined very rapidly - within about five years you could relax, or have children."
76	2007-05-20	Because there used to be a higher rate of inflation,"" says Wilcox, ""one might start off paying 30-40% of one''s income in mortgage, but as earnings were rising with inflation, and inflation was quite high, the mortgage cost-to-income ratio declined very rapidly - within about five years you could relax, or have children."
77	2007-05-20	We''re now operating in a very low inflation environment, and you''re looking at 10, 15, 20 years before you can be comfortable."""
78	2007-05-20	In Britain, house-price inflation dipped below 10% in March, and home ownership dropped for the first time in 50 years; late April brought back predictions of a coming crash - and a crash would, of course, please those who can''t buy, those for whom the boom simply means an ever-more-unattainable goal."
79	2007-05-20	Bank''s inflation controllers leave the NICE decade to enter the not-so-nice Threadneedle Street''s rate setters are having to work harder to tame the economy Thursday 3 May 2007 00.22 BST First published on Thursday 3 May 2007 00.22 BST The call came to Mervyn King as he returned home after a game of tennis on bank holiday Monday 10 years ago this week."
80	2007-05-20	Last month, for the first time since independence, inflation rose to a level more than a percentage point above the 2% target set by the chancellor."
81	2007-05-20	Coincidentally, Mr King and his colleagues are under fire from economists - including one of the original members of the committee, Charles Goodhart - who say the Bank''s decision to ignore the large amounts of cheap credit swilling round the economy is the reason inflation is flashing amber warning signals."
82	2007-05-20	While acknowledging the criticism last night, the governor said it was difficult to know what signals about inflation changes in the money supply were sending."
83	2007-05-20	I think the big step for monetary policy was adopting inflation targeting in 1992 [under then chancellor Norman Lamont]."""
84	2007-05-20	The deviation of inflation from its Treasury-set target has been a mere -0.08%."
85	2007-05-20	So far the central bank has taken no action, and some critics say it is also under pressure to keep inflation down."
86	2007-05-20	Mr. Agarwala and others say that the bank has been allowing the rupee to rise in order to control domestic inflation , which remains above its target of 5 percent, even though the benchmark interest rate is at a five-year high."
87	2007-05-20	One result should be a flood of lower-price supplies on the domestic market, which would help drive down inflation ."
88	2007-05-20	Even so, the current cost of gas – which in real terms is approaching the old peak of $1.42 a gallon in March 1981, or $3.31 adjusted for inflation – has renewed suspicions that the oil industry is looking for ways to keep profits high by delaying much-needed investments."
89	2007-05-20	Even so, the current cost of gas – which in real terms is approaching the old peak of $1.42 a gallon in March 1981, or $3.31 adjusted for inflation – has renewed suspicions that the oil industry is looking for ways to keep profits high by delaying much-needed investments."
90	2007-05-20	So far the central bank has taken no action, and some critics say it is also under pressure to keep inflation down."
91	2007-05-20	Mr. Agarwala and others say that the bank has been allowing the rupee to rise in order to control domestic inflation , which remains above its target of 5 percent, even though the benchmark interest rate is at a five-year high."
92	2007-05-20	One result should be a flood of lower-price supplies on the domestic market, which would help drive down inflation ."
93	2007-06-20	Unions have weakened, the minimum wage hasn''t come close to keeping up with inflation , and marginal income tax rates have been cut – the top marginal rate is now 35 percent, down from 70 percent in 1980."
94	2007-06-20	The question is how much longer Beijing can keep up these purchases, which require adroit handling to prevent them from causing inflation in China."
95	2007-07-20	That policy was essentially using the discipline of ERM membership to get inflation down."
96	2007-07-20	As he says, ''it consisted of an inflation target, the institution of regular monthly meetings with the governor, and regular inflation reports''."
97	2007-07-20	As he says, ''it consisted of an inflation target, the institution of regular monthly meetings with the governor, and regular inflation reports''."
98	2007-07-20	On the other hand, there is an economically strong argument that we did get the best of both worlds - very rapid deceleration in inflation - from 10.6 per cent in November 1990 to below 2 per cent four or five months after I left office."
99	2007-07-20	In effect, the ERM policy about which he had such reservations and for which he suffered personally, got inflation out of the system in a way British politicians, without the straitjacket, would not have done."
100	2007-07-20	The fall in inflation ''could not have been achieved without an impact on output and jobs''."
101	2007-07-20	In his own words On joblessness ''Rising unemployment and the recession have been the price we have had to pay to get inflation down."
102	2007-07-20	The committee judged that, relative to the 2% target, the balance of risks to the outlook for inflation in the medium term continued to lie to the upside."""
103	2007-07-20	Figures out yesterday from Halifax, the big mortgage lender, showed a strong rise in house prices in June , keeping the annual rate of property inflation above 10%."
104	2007-07-20	The governor of the Bank of England, Mervyn King, hinted at further pain for borrowers just two weeks ago when he said ""further action"" could be necessary if companies were intent on raising prices and if inflation expectations stayed high."
105	2007-07-20	Although the consumer prices index (CPI) – the official measure of inflation - dropped to 2.5% in May from 3.1% in March, inflation remains above the Treasury-set target of 2%."
106	2007-07-20	Although the consumer prices index (CPI) – the official measure of inflation - dropped to 2.5% in May from 3.1% in March, inflation remains above the Treasury-set target of 2%."
107	2007-07-20	The Bank indicated in its last key quarterly inflation report that it may need to raise rates to 5.75% this year to bring CPI back to its target over the next two years."
108	2007-07-20	 Inflation was 3.1 percent last year and is well under control."
109	2007-07-20	That is about half the rate of inflation during that period, and it mirrors what has occurred nationally."
110	2007-08-20	Just the opposite, the median pay – the point where half make more and half less – has fallen in recent years, to $14.84 an hour in 2007 from $15.04 in 2004, adjusted for inflation , according to the Economic Policy Institute."
111	2007-08-20	To finance a bailout, the government can either pull more money from citizens directly, or the Fed can print more money - a step that encourages further inflation ."
112	2007-08-20	Critics on the right also accuse Mr. Paulson and Ben S. Bernanke, the Federal Reserve chairman, of panicking and over-reaching, keeping interest rates low, which they say has fanned inflation and caused the dollar to skid."
113	2007-09-20	But inflation stayed low and so did interest rates."
114	2007-09-20	So even though inflation remained at levels not seen for years, the inflation rate for real estate did go up."
115	2007-09-20	So even though inflation remained at levels not seen for years, the inflation rate for real estate did go up."
116	2007-09-20	The people given the job of setting the cost at which people could borrow - the central banks of the US and Britain - started to worry about this and they raised interest rates because they were frightened that high inflation in the real estate market would spread to the rest of the economy."
117	2007-09-20	They use derivatives such as interest rate and inflation swaps to hedge out unrewarded risks and then invest in well-diversified, risk-adjusted assets to back the liabilities and generate excess returns."
118	2007-09-20	Just as today, problems started to surface when the authorities began raising interest rates to combat inflation ."
119	2007-09-20	The economy had two years of recession and inflation hit a post-war peak of 27%."
120	2007-09-20	Yet most economists, on a bipartisan basis, agree that relatively independent central banks have a better record of maintaining economic stability and keeping down price inflation ."
121	2007-09-20	Government economists recently credited those pricing plans with contributing to a slowdown of inflation in the Consumer Price Index for prescription drugs."
122	2007-09-20	Tuition costs were rising much faster than inflation and median household incomes."
123	2007-10-20	Once known for sucking jobs out of call centres and IT departments in the west, Indian technology firms are re-exporting them to wealthier nations as wage inflation and skills shortages at home reverse the process."
124	2007-10-20	''My objective was to try to win back our reputation for economic competence and try for the Holy Grail of growth and low inflation .''"
125	2007-10-20	In those early days, before the economy had returned to ''sustainable growth'', he felt he was concentrating on the inflation target (inherited from Lamont) and his fiscal rules, whereas colleagues, Opposition and press were demanding instant results."
126	2007-10-20	We both recalled that the conventional view was that devaluation would lead to inflation , yet there was a sizeable devaluation in the markets during the early part of his Chancellorship which boosted growth but not inflation."
127	2007-10-20	We both recalled that the conventional view was that devaluation would lead to inflation, yet there was a sizeable devaluation in the markets during the early part of his Chancellorship which boosted growth but not inflation ."
128	2007-10-20	''I did not believe that the devaluation would lead to wage inflation ."
129	2007-10-20	People in China were going to keep inflation down.''"
130	2007-10-20	He also put an end to Treasury censorship of the Bank''s quarterly inflation report and the governor''s speeches."
131	2007-10-20	People worry about how markets will perform over time, what effect inflation will have on their expenses, whether there will be a legacy should they die and how sound the insurance company will be in the long run."
132	2007-11-20	Mr. Kudrin is a chief proponent of saving the bulk of the country''s oil profits in a sovereign wealth fund to offset inflation and any future downturn in world oil prices."
133	2007-11-20	Fixed annuities lock up principal and do not offset inflation ."
134	2007-11-20	Prices are closing in on a record level, adjusted for inflation , of $101.70 a barrel in April 1980."
135	2007-11-20	The government''s overall bill for Medicare soared last year to an average of $8-56-208 per beneficiary, up from $5-52-202 in 1999, an increase that outpaces inflation by 34 percent."
136	2007-11-20	Prices are closing in on a record level, adjusted for inflation , of $101.70 a barrel in April 1980."
137	2007-11-20	 Inflation accelerated in October even though the government issued a ban on Sept. 19 on all price increases for a long list of regulated industries, from airlines to electric utilities to energy companies."
138	2007-11-20	Mr. Kudrin is a chief proponent of saving the bulk of the country''s oil profits in a sovereign wealth fund to offset inflation and any future downturn in world oil prices."
139	2007-11-20	Fixed annuities lock up principal and do not offset inflation ."
140	2007-12-20	This will be linked to inflation , with new provisions for people who want to take their pension early because of ill-health."
141	2007-12-20	Photograph: Graeme Robertson Tesco today called on the Bank of England''s monetary policy committee to cut interest rates soon, saying the risks to the economy posed by inflation were far lower than the threat connected with a downturn in consumer confidence."
142	2007-12-20	Andrew Higginson, finance director at the supermarket group, said inflation in Tesco stores was running at 0.8%."
143	2007-12-20	 Inflation has been massively overblown,"" said Higginson."
144	2007-12-20	There has been genuine inflation in some seasonal and commodity products, but the very competitive nature of UK supermarkets means price is the last thing to alter""."
145	2007-12-20	He said the Bank should cut rates at the earliest opportunity: ""We have a fundamentally different view of the risks of inflation than the Bank of England appears to have."
146	2007-12-20	The next move on interest rates has to be down, and soon, because the risk of inflation is limited but the risk of the consumer turning off is higher""."
147	2007-12-20	Its inflation figures exclude the impact of petrol price rises."
148	2007-12-20	But its consumers are already feeling the cost of food inflation ."
149	2007-12-20	The maker of Dairy Milk, which relaunched the Wispa bar in October, said its prices would rise by more than the rate of inflation in 2008."
150	2007-12-20	The income of the median family has risen only about 25 percent in the last 30 years, after adjusting for inflation ."
151	2007-12-20	From the late 1940s to the late 1970s, the incomes of the middle class surged while those of the top 0.01 percent rose only slightly faster than inflation ."
152	2007-12-20	Middle-class incomes have trailed inflation in the current decade."
153	2007-12-20	Credit David G. Klein A falling dollar does mean price inflation in the United States."
154		﻿1
155	2008-01-20	We can''t ensure that inflation is always going to be low, and there aren''t going to be bumps in the road.''"
156	2008-01-20	A price rise now could worsen the galloping 22% rate of inflation by having a knock-on effect on the cost of haulage and public transport."
157	2008-01-20	Chinese economy slows at end of 2007 JAN. 24, 2008 BEIJING – China''s economy grew 11.4 percent in 2007, the fastest pace in 13 years, but slowed in the final months of the year as global demand weakened and measures to curb inflation and bank lending started to bite."
158	2008-01-20	The statistics office confirmed earlier leaks that the annual rate of consumer price inflation slowed to 6.5 percent in December from an 11-year high of 6.9 percent in November."
159	2008-01-20	The annual rate of factory-gate inflation jumped to 5.4 percent in December from 4.6 percent in November."
160	2008-01-20	Led by higher food and energy costs, inflation in Spain accelerated to the fastest rate in more than a decade in December even after economic growth slowed."
161	2008-01-20	The inflation rate rose to 4.3 percent, the highest since the European-standard index was introduced in 1997, the Labor Ministry said."
162	2008-01-20	A version of this brief appears in print on , on Page C5 of the New York edition with the headline: Spain: Inflation Rate Is Highest In 10 Years."
163	2008-01-20	And the switch benefits the shareholders of companies like Air Products, which make nitrogen inflation systems for auto dealerships."
164	2008-01-20	The turmoil will put even more pressure on the European Central Bank, which has charted a different course from the Federal Reserve by warning that it might raise interest rates to curb inflation , rather than cut them, as the Fed has, to ward off a recession."
165	2008-01-20	There may be worse inflation to come."
166	2008-01-20	Other commodities also rose, spurring more speculation that inflation could be a problem this year."
167	2008-01-20	But it has widened the trade deficit and raised concerns about inflation at a time when a growing number of economists fear a recession may be coming."
168	2008-01-20	Higher costs may drive manufacturers with low margins out of China, damping investment in factories that helped push inflation to a 10-year high."
169	2008-01-20	Many of the problems appear to have their roots in the government''s imposition of a long list of price controls in recent months in an attempt to tamp down inflation , which reached 6.9 percent at the consumer level in November."
170	2008-01-20	The turmoil will put even more pressure on the European Central Bank, which has charted a different course from the Federal Reserve by warning that it might raise interest rates to curb inflation , rather than cut them, as the Fed has, to ward off a recession."
171	2008-01-20	There may be worse inflation to come."
172	2008-01-20	Other commodities also rose, spurring more speculation that inflation could be a problem this year."
173	2008-01-20	But it has widened the trade deficit and raised concerns about inflation at a time when a growing number of economists fear a recession may be coming."
174	2008-01-20	Higher costs may drive manufacturers with low margins out of China, damping investment in factories that helped push inflation to a 10-year high."
175	2008-01-20	Many of the problems appear to have their roots in the government''s imposition of a long list of price controls in recent months in an attempt to tamp down inflation , which reached 6.9 percent at the consumer level in November."
176	2008-01-20	The executive, Michael Mudd, said that the cost increase had been driven by inflation in plant construction costs, and not by any change in the scope of the project or its technical challenges."
177	2008-01-20	However I think central banks in the region have to keep an eye on the inflation front as well,"" he added."
178	2008-01-20	 Chinese economy slows at end of 2007 JAN. 24, 2008 BEIJING – China''s economy grew 11.4 percent in 2007, the fastest pace in 13 years, but slowed in the final months of the year as global demand weakened and measures to curb inflation and bank lending started to bite."
179	2008-01-20	The statistics office confirmed earlier leaks that the annual rate of consumer price inflation slowed to 6.5 percent in December from an 11-year high of 6.9 percent in November."
180	2008-01-20	The annual rate of factory-gate inflation jumped to 5.4 percent in December from 4.6 percent in November."
181	2008-01-20	 Led by higher food and energy costs, inflation in Spain accelerated to the fastest rate in more than a decade in December even after economic growth slowed."
182	2008-01-20	The inflation rate rose to 4.3 percent, the highest since the European-standard index was introduced in 1997, the Labor Ministry said."
183	2008-01-20	A version of this brief appears in print on , on Page C5 of the New York edition with the headline: Spain: Inflation Rate Is Highest In 10 Years."
184	2008-01-20	And the switch benefits the shareholders of companies like Air Products, which make nitrogen inflation systems for auto dealerships."
185	2008-02-20	The lowest pay rise in the store last year, says the company, was 2.4% - and that was above the rate of inflation ."
186	2008-02-20	Since the pay award, however, inflation has taken off."
187	2008-02-20	It hit 4% in December, with food price inflation running at 7.9%."
188	2008-02-20	The business model is exceptionally resilient, the roll-out and marketing programmes are funded by the franchisees and food price inflation is all accounted for,"" said Altium''s Greg Feehely."
189	2008-02-20	Although official data show food prices climbing rapidly in Britain, Tesco said last month that overall inflation in its stores was running at just 0.8%."
190	2008-02-20	Vietnam endures highest inflation rate in a decade By GRANT MCCOOL HO CHI MINH CITY – Whenever Nguyen Thi Ha, a Vietnamese factory worker, goes to the supermarket, she finds that prices on the shelves have climbed, evidence that her country is enduring its highest inflation rate in more than a decade."
191	2008-02-20	Vietnam endures highest inflation rate in a decade By GRANT MCCOOL HO CHI MINH CITY – Whenever Nguyen Thi Ha, a Vietnamese factory worker, goes to the supermarket, she finds that prices on the shelves have climbed, evidence that her country is enduring its highest inflation rate in more than a decade."
192	2008-02-20	 Inflation reached 12.6 percent in December, driven by higher prices for food, fuel and construction material."
193	2008-02-20	Thousands of workers at textile factories owned by American, South Korean and Taiwanese companies have gone on strike in recent months in and around Ho Chi Minh City, the largest urban area, demanding higher wages to keep up with inflation ."
194	2008-02-20	Economists said double-digit inflation was a cause for concern because it meant less food would be eaten by the poor in a country with an annual per capita income of only $835 but with pride in its having reduced poverty in the past decade."
195	2008-02-20	Government economists cite an infusion of U.S. dollars through overseas remittances and foreign investments as a big contributor to inflation , forcing the central bank to buy back dollars to contain the value of the dong."
196	2008-02-20	The government is well aware of the reasons for inflation , and the way to solve it is to use multiple solutions, including monetary measures,"" said Lich, who is a member of the National Assembly, or Parliament."
197	2008-02-20	This would allow inflation to temper, as our analysis suggests that a 1 percent appreciation of the dong versus the U.S. dollar should shave off above 1 to 1.5 percentage points from inflation over a 12-month period,"" said the analyst, Prakriti Sofat."
198	2008-02-20	This would allow inflation to temper, as our analysis suggests that a 1 percent appreciation of the dong versus the U.S. dollar should shave off above 1 to 1.5 percentage points from inflation over a 12-month period,"" said the analyst, Prakriti Sofat."
199	2008-02-20	(That number will be recalculated on Wednesday when the government releases new inflation data.) United States stock prices were dragged down by the record oil close, which helped to reverse a 157-point rally in the Dow Jones industrial average, because investors feared that higher energy costs would further weaken consumer spending."
200	2008-02-20	And a declining dollar may well be associated with inflation , but a diversified portfolio would include TIPS,"" to provide a hedge."
201	2008-02-20	If you take inflation into account, gold is nowhere near its record high."
202	2008-02-20	Alan Greenspan, the former Federal Reserve chairman, said Monday that high inflation in Gulf states would fall ""significantly"" if the oil producers drop their dollar pegs, Reuters reported from Jeddah, Saudi Arabia."
203	2008-02-20	The pegs restrict the ability of governments in the Gulf to fight inflation by forcing them to shadow U.S. monetary policy at a time when the Fed is cutting rates to ward off recession, while Gulf economies are surging on a near five-fold jump in oil prices since 2002."
204	2008-02-20	The central bank chiefs of Saudi Arabia and the United Arab Emirates spoke Monday in favor of retaining dollar pegs, while Qatar''s prime minister advocated regional currency reform to avert possible unilateral revaluations designed to curb inflation ."
205	2008-02-20	 Inflation is low and the currency has been allowed to appreciate gradually."""
206	2008-02-20	Alan Greenspan, the former Federal Reserve chairman, said Monday that high inflation in Gulf states would fall ""significantly"" if the oil producers drop their dollar pegs, Reuters reported from Jeddah, Saudi Arabia."
207	2008-02-20	The pegs restrict the ability of governments in the Gulf to fight inflation by forcing them to shadow U.S. monetary policy at a time when the Fed is cutting rates to ward off recession, while Gulf economies are surging on a near five-fold jump in oil prices since 2002."
208	2008-02-20	The central bank chiefs of Saudi Arabia and the United Arab Emirates spoke Monday in favor of retaining dollar pegs, while Qatar''s prime minister advocated regional currency reform to avert possible unilateral revaluations designed to curb inflation ."
209	2008-02-20	 Inflation is low and the currency has been allowed to appreciate gradually."""
210	2008-02-20	 Vietnam endures highest inflation rate in a decade By GRANT MCCOOL HO CHI MINH CITY – Whenever Nguyen Thi Ha, a Vietnamese factory worker, goes to the supermarket, she finds that prices on the shelves have climbed, evidence that her country is enduring its highest inflation rate in more than a decade."
211	2008-02-20	 Vietnam endures highest inflation rate in a decade By GRANT MCCOOL HO CHI MINH CITY – Whenever Nguyen Thi Ha, a Vietnamese factory worker, goes to the supermarket, she finds that prices on the shelves have climbed, evidence that her country is enduring its highest inflation rate in more than a decade."
