id	date	tss	tsi	adjectives	adverbs	all_caps_words	c_nouns	redups	chars	function_words	emojis	handles	hashtags	urls	hashtag_dict	handle_dict	url_dict	emoji_dict	lex_words	lines	multi_words	numerals	punct	p_nouns	q_marks	avg_sent_length	other_pos	single_words	tokens	words	tt_ratio	types	verbs	x_marks	topics	entities	tss_cat2	tss_cat3	tss_cat9	tsi_cat	profile
12	20-1-07	100	100	2	1	0	11	0	175	16	0	0	0	0	{}	{}	{}	{}	17	1	2	1	4	0	0	38.0	1	14	38	38	0.737	28	3	0	{'pay rise': 1, 'rate of inflation': 1, 'price of gas': 1, 'flat screen tvs': 1, 'result of inflation': 1}	{}	POS	POS	Extremely positive	Extremely intense	[]
13	20-1-07	40	100	3	0	0	16	0	344	38	0	0	0	0	{}	{}	{}	{}	26	1	6	1	4	2	0	69.0	1	16	69	69	0.855	59	5	0	"{""week''s rise"": 1, 'first time': 1, 'open letter': 1, 'percentage point': 1, 'percent target': 1, 'monetary policy committee': 1}"	{'Gordon Brown': 1}	NEG	NEG	Fairly negative	Extremely intense	[]
14	20-1-07	50	100	3	0	0	6	0	121	9	0	0	0	0	{}	{}	{}	{}	13	1	2	0	2	1	0	24.0	0	7	24	24	0.875	21	3	0	"{""king''s point"": 1, 'stable inflation': 1, 'low and stable': 1, ""last week''s surge"": 1}"	{}	POS	POS	Slightly positive	Extremely intense	[]
15	20-1-07	50	100	3	0	0	6	0	121	9	0	0	0	0	{}	{}	{}	{}	13	1	2	0	2	1	0	24.0	0	7	24	24	0.875	21	3	0	"{""king''s point"": 1, 'stable inflation': 1, 'low and stable': 1, ""last week''s surge"": 1}"	{}	POS	POS	Slightly positive	Extremely intense	[]
16	20-1-07	100	100	2	0	0	6	0	104	10	0	0	0	0	{}	{}	{}	{}	9	1	1	0	2	0	0	21.0	0	7	21	21	0.81	17	1	0	"{'keen sense': 1, ""bank''s purpose"": 1, 'low inflation': 1}"	{}	POS	POS	Extremely positive	Extremely intense	[]
17	20-1-07	100	100	4	0	0	7	0	140	8	0	0	0	0	{}	{}	{}	{}	14	1	1	0	5	0	0	27.0	0	10	27	27	0.741	20	3	0	{'right conditions': 1, 'economic prosperity': 1, 'low inflation': 1, 'low interest rates': 1}	{}	POS	POS	Extremely positive	Extremely intense	[]
18	20-1-07	100	100	4	1	0	6	0	161	7	0	0	0	0	{}	{}	{}	{}	17	1	0	0	7	3	0	31.0	0	15	31	31	0.71	22	3	0	{'stable currency': 1, 'zero-percent inflation': 1, 'foreign trade': 1}	{}	POS	POS	Extremely positive	Extremely intense	[]
19	20-1-07	40	50	5	3	0	7	0	264	15	0	0	0	0	{}	{}	{}	{}	20	1	3	1	5	1	0	41.0	0	15	41	41	0.732	30	5	0	{'larger-than-life personality': 1, 'keynesian economics': 1, 'simultaneous outbreak': 1}	{}	NEG	NEG	Fairly negative	Factual	[]
20	20-1-07	66	100	1	0	0	10	0	186	12	0	0	0	0	{}	{}	{}	{}	17	1	4	0	4	0	0	33.0	0	11	33	33	0.788	26	6	0	{'excessive inflation': 1, 'changes in taxes': 1}	{}	POS	POS	Fairly positive	Extremely intense	[]
21	20-1-07	50	0	0	1	0	6	0	111	7	0	0	0	0	{}	{}	{}	{}	11	1	1	0	4	0	0	22.0	0	10	22	22	0.773	17	4	0	{'pay on par': 1}	{}	NEG	NEU	Neutral	Factual	[]
22	20-2-07	100	100	2	0	0	11	0	215	17	0	0	0	0	{}	{}	{}	{}	20	1	0	0	6	2	0	43.0	0	18	43	43	0.814	35	5	0	{'supermarket margins': 1, 'upward path': 1, 'current management team': 1, 'return of food': 1, 'food price inflation': 1}	{'Mr King': 1}	POS	POS	Extremely positive	Extremely intense	[]
23	20-2-07	50	100	3	2	0	10	0	219	14	0	0	0	0	{}	{}	{}	{}	21	1	2	1	3	3	0	39.0	1	16	39	39	0.821	32	3	0	{'big grocers': 1, 'several years': 1, 'food price deflation': 1, 'office for national': 1, 'food price inflation': 1}	{}	POS	POS	Slightly positive	Extremely intense	[]
24	20-2-07	0	100	0	1	0	1	0	45	2	0	0	0	0	{}	{}	{}	{}	5	1	1	0	2	0	0	9.0	0	4	9	9	0.778	7	3	0	{}	{}	NEG	NEG	Extremely negative	Extremely intense	[]
25	20-2-07	66	50	0	3	0	5	0	163	7	0	0	0	0	{}	{}	{}	{}	15	1	1	0	4	2	0	26.0	0	12	26	26	0.808	21	5	0	{}	{}	POS	POS	Fairly positive	Factual	[]
26	20-2-07	100	100	2	1	0	6	0	180	13	0	0	0	0	{}	{}	{}	{}	16	1	1	0	4	2	0	33.0	0	12	33	33	0.788	26	5	0	{'economic damage': 1, 'emissions today': 1}	{'Stern Review': 1}	POS	POS	Extremely positive	Extremely intense	[]
27	20-3-07	66	100	2	0	0	14	0	184	14	0	0	0	0	{}	{}	{}	{}	18	1	2	4	6	1	0	42.0	1	16	42	42	0.762	32	4	0	{'annual payments': 1, 'rise in line': 1, 'percent per year': 1}	{}	POS	POS	Fairly positive	Extremely intense	[]
28	20-3-07	50	0	2	1	0	12	0	193	9	0	0	0	0	{}	{}	{}	{}	24	1	4	3	3	4	0	39.0	4	9	39	39	0.846	33	4	0	{'high rises': 1, 'last year': 1, 'house prices': 1, 'consumer price index': 1, 'index of inflation': 1}	{}	POS	NEU	Neutral	Factual	[]
29	20-3-07	100	100	3	1	0	6	0	157	7	0	0	0	0	{}	{}	{}	{}	15	1	3	0	9	3	0	31.0	0	7	31	31	0.71	22	2	0	{'chief economist': 1, 'strong growth': 1, 'low inflation': 1}	{'Jean-philippe Cotis': 1}	POS	POS	Extremely positive	Extremely intense	[]
30	20-3-07	0	100	1	0	0	8	0	172	14	0	0	0	0	{}	{}	{}	{}	15	1	2	0	3	2	0	32.0	0	11	32	32	0.812	26	4	0	{'inflation target': 1, 'explanatory letter': 1, 'percentage point deviation': 1}	{}	NEG	NEG	Extremely negative	Extremely intense	[]
31	20-3-07	50	0	2	0	0	5	0	120	9	0	0	0	0	{}	{}	{}	{}	9	1	0	3	8	0	0	29.0	2	10	29	29	0.69	20	3	0	{}	{}	NEG	NEU	Neutral	Factual	[]
32	20-3-07	100	100	1	0	0	6	0	108	6	0	0	0	0	{}	{}	{}	{}	9	1	1	2	3	0	0	20.0	2	7	20	20	0.8	16	2	0	{'economic growth': 1, 'year while inflation': 1}	{}	POS	POS	Extremely positive	Extremely intense	[]
33	20-3-07	50	0	2	1	0	8	0	199	9	0	0	0	0	{}	{}	{}	{}	19	1	1	1	6	5	0	35.0	1	12	35	35	0.743	26	3	0	{'chief executive': 1, 'price inflation': 1, 'new markets': 1, 'around-the-world business trips': 1}	{'Mohammad Abu-ghazaleh': 1, 'Middle East': 1}	POS	NEU	Neutral	Factual	[]
34	20-3-07	100	100	2	0	0	7	0	145	8	0	0	0	0	{}	{}	{}	{}	12	1	1	0	3	0	0	23.0	0	12	23	23	0.87	20	3	0	{'steady income': 1, 'traditional investment appeal': 1, 'income from rents': 1}	{}	POS	POS	Extremely positive	Extremely intense	[]
35	20-3-07	100	100	2	0	0	7	0	145	8	0	0	0	0	{}	{}	{}	{}	12	1	1	0	3	0	0	23.0	0	12	23	23	0.87	20	3	0	{'steady income': 1, 'traditional investment appeal': 1, 'income from rents': 1}	{}	POS	POS	Extremely positive	Extremely intense	[]
36	20-3-07	50	0	2	0	0	5	0	120	9	0	0	0	0	{}	{}	{}	{}	9	1	0	3	8	0	0	29.0	2	10	29	29	0.69	20	3	0	{}	{}	NEG	NEU	Neutral	Factual	[]
37	20-3-07	100	100	1	0	0	6	0	108	6	0	0	0	0	{}	{}	{}	{}	9	1	1	2	3	0	0	20.0	2	7	20	20	0.8	16	2	0	{'economic growth': 1, 'year while inflation': 1}	{}	POS	POS	Extremely positive	Extremely intense	[]
38	20-3-07	50	0	2	1	0	8	0	199	9	0	0	0	0	{}	{}	{}	{}	19	1	1	1	6	5	0	35.0	1	12	35	35	0.743	26	3	0	{'chief executive': 1, 'price inflation': 1, 'new markets': 1, 'around-the-world business trips': 1}	{'Mohammad Abu-ghazaleh': 1, 'Middle East': 1}	POS	NEU	Neutral	Factual	[]
39	20-4-07	100	50	2	0	0	11	0	233	19	0	0	0	0	{}	{}	{}	{}	20	1	2	0	5	2	0	22.0	0	16	44	44	0.75	33	5	0	{'central theory': 1, 'theory of monetarism': 1, 'money supply': 1, 'nominal wages': 1, 'effect on output': 1}	{'Milton Friedman': 1}	POS	POS	Extremely positive	Factual	[]
40	20-4-07	50	100	2	0	0	8	0	160	10	0	0	0	0	{}	{}	{}	{}	15	1	3	0	3	1	0	28.0	0	9	28	28	0.857	24	4	0	{'next month': 1, 'interest rate rise': 1, 'possible half-point increase': 1}	{}	POS	POS	Slightly positive	Extremely intense	[]
41	20-4-07	50	100	2	0	0	15	0	243	15	0	0	0	0	{}	{}	{}	{}	21	1	1	2	11	0	0	49.0	1	19	49	49	0.714	35	5	0	"{""week''s announcement"": 1, 'money markets': 1, 'swap rates': 1, 'fixed-rate deals': 1, 'consumer prices index': 1}"	{}	POS	POS	Slightly positive	Extremely intense	[]
42	20-4-07	66	50	2	0	0	8	1	131	7	0	0	0	0	{}	{}	{}	{}	13	1	1	1	4	0	0	25.0	1	11	25	25	0.84	21	3	0	{'borrowing costs': 1, 'house price inflation': 1, 'variable rate deals': 1}	{}	POS	POS	Fairly positive	Factual	[]
43	20-4-07	0	100	0	0	0	5	0	83	5	0	0	0	0	{}	{}	{}	{}	8	1	0	0	2	2	0	15.0	0	6	15	15	0.867	13	1	0	"{""spectre that''s"": 1, 'bank of england': 1, 'wage-price inflation spiral': 1}"	{}	NEG	NEG	Extremely negative	Extremely intense	[]
44	20-4-07	0	100	1	0	0	4	0	95	5	0	0	0	0	{}	{}	{}	{}	10	1	0	0	4	3	0	19.0	0	7	19	19	0.789	15	2	0	{'aggressive measures': 1, 'measures to batten': 1}	{'Mervyn King': 1}	NEG	NEG	Extremely negative	Extremely intense	[]
45	20-4-07	66	100	7	0	0	26	1	444	30	0	0	0	0	{}	{}	{}	{}	46	1	6	1	12	3	0	29.67	2	30	89	89	0.764	68	9	0	{'point rise': 1, 'good news': 1, 'price inflation': 1, 'sustainable level': 1, 'half percentage point': 1, 'bottom line': 1, 'earnings inflation': 1, 'chief executive': 1, 'house builder': 1, 'line with earnings': 1, 'desperate measures': 1, 'sky-high prices': 1}	{'John Watson': 1}	POS	POS	Fairly positive	Extremely intense	[50.0, 50.0, 50.0, 100.0, 50.0, 100.0, 50.0, 50.0, 100.0, 42.0]
46	20-4-07	66	100	7	0	0	26	1	445	30	0	0	0	0	{}	{}	{}	{}	46	1	6	1	12	3	0	29.67	2	30	89	89	0.764	68	9	0	{'point rise': 1, 'good news': 1, 'price inflation': 1, 'sustainable level': 1, 'half percentage point': 1, 'bottom line': 1, 'earnings inflation': 1, 'chief executive': 1, 'house builder': 1, 'line with earnings': 1, 'desperate measures': 1, 'sky-high prices': 1}	{'John Watson': 1}	POS	POS	Fairly positive	Extremely intense	[50.0, 50.0, 50.0, 100.0, 50.0, 100.0, 50.0, 50.0, 100.0, 42.0]
47	20-4-07	50	0	0	0	1	2	0	33	3	0	0	0	0	{}	{}	{}	{}	3	1	0	0	2	1	0	8.0	0	3	8	8	0.75	6	0	0	{'inflation measure': 1}	{}	NEG	NEU	Neutral	Factual	[]
48	20-4-07	100	100	1	0	0	7	0	113	6	0	0	0	0	{}	{}	{}	{}	10	1	0	0	3	0	0	19.0	0	10	19	19	0.842	16	2	0	"{""pound''s rise"": 1, 'stronger-than-expected data': 1, 'data on inflation': 1}"	{}	POS	POS	Extremely positive	Extremely intense	[]
49	20-4-07	50	0	1	1	0	5	0	190	20	0	0	0	0	{}	{}	{}	{}	14	1	0	0	3	4	0	37.0	0	10	37	37	0.865	32	3	0	{'consumer inflation data': 1, 'bank of england': 1}	{}	NEG	NEU	Neutral	Factual	[]
50	20-4-07	0	100	2	0	0	4	0	133	10	0	0	0	0	{}	{}	{}	{}	12	1	1	0	3	3	0	25.0	0	8	25	25	0.84	21	3	0	{'poor people': 1, 'food inflation': 1}	{}	NEG	NEG	Extremely negative	Extremely intense	[]
51	20-4-07	50	100	1	0	0	7	0	115	7	0	0	0	0	{}	{}	{}	{}	9	1	0	0	3	0	0	19.0	0	9	19	19	0.842	16	1	0	{'optional features': 1, 'inflation protection': 1, 'withdrawal benefit': 1}	{}	POS	POS	Slightly positive	Extremely intense	[]
52	20-4-07	66	100	1	0	1	5	0	166	13	0	0	0	0	{}	{}	{}	{}	12	1	0	1	12	1	0	19.0	1	11	38	38	0.658	25	5	0	{}	{}	POS	POS	Fairly positive	Extremely intense	[]
53	20-5-07	75	100	4	0	0	12	0	356	33	0	0	0	0	{}	{}	{}	{}	26	1	1	0	17	4	0	76.0	0	20	76	76	0.605	46	6	0	{'current governor': 1, 'great weight': 1, 'inflation expectations': 1, 'monetary policy': 1, 'bank of england': 1, 'weight to inflation': 1}	{'Mervyn King': 1}	POS	POS	Very positive	Extremely intense	[]
54	20-5-07	75	100	4	0	0	12	0	356	33	0	0	0	0	{}	{}	{}	{}	26	1	1	0	17	4	0	76.0	0	20	76	76	0.605	46	6	0	{'current governor': 1, 'great weight': 1, 'inflation expectations': 1, 'monetary policy': 1, 'bank of england': 1, 'weight to inflation': 1}	{'Mervyn King': 1}	POS	POS	Very positive	Extremely intense	[]
55	20-5-07	0	100	0	0	0	5	0	97	9	0	0	0	0	{}	{}	{}	{}	8	1	1	0	4	2	0	21.0	0	5	21	21	0.714	15	1	0	{'inflation front': 1}	{'Chancellor Lawson': 1}	NEG	NEG	Extremely negative	Extremely intense	[]
56	20-5-07	50	100	1	0	0	8	0	183	14	0	0	0	0	{}	{}	{}	{}	14	1	1	0	8	3	0	36.0	0	9	36	36	0.611	22	2	0	{'inflation expectations': 1, 'first draft': 1}	{}	POS	POS	Slightly positive	Extremely intense	[]
57	20-5-07	33	100	4	1	2	10	0	260	19	0	0	0	0	{}	{}	{}	{}	21	1	3	0	6	3	0	46.0	0	20	46	46	0.804	37	3	0	"{""walters''s criticisms"": 1, 'real strategy': 1, ""focus of walters''s"": 1, ""former chancellor''s obsession"": 1}"	{}	NEG	NEG	Fairly negative	Extremely intense	[]
58	20-5-07	100	50	1	1	0	3	0	94	9	0	0	0	0	{}	{}	{}	{}	7	1	1	0	8	0	0	24.0	0	5	24	24	0.625	15	2	0	{'past cycles': 1, 'great deal': 1}	{}	POS	POS	Extremely positive	Factual	[]
59	20-5-07	0	50	0	2	0	5	0	118	11	0	0	0	0	{}	{}	{}	{}	9	1	1	0	4	0	0	24.0	0	8	24	24	0.708	17	2	0	{'supply side': 1, 'problems of inflation': 1}	{}	NEG	NEG	Extremely negative	Factual	[]
60	20-5-07	50	0	1	0	0	11	0	216	15	0	0	0	0	{}	{}	{}	{}	18	1	0	2	3	3	0	38.0	2	15	38	38	0.868	33	3	0	{'account books': 1, 'alms houses': 1, 'office for national': 1, 'cost of wheat': 1, 'naval purchasing records': 1}	{}	POS	NEU	Neutral	Factual	[]
61	20-5-07	100	100	0	0	1	6	0	107	9	0	0	0	0	{}	{}	{}	{}	9	1	2	3	4	1	0	25.0	2	6	25	25	0.8	20	3	0	{'test of time': 1}	{}	POS	POS	Extremely positive	Extremely intense	[]
62	20-5-07	0	100	1	0	1	12	0	196	15	0	0	0	0	{}	{}	{}	{}	20	1	1	0	4	1	0	39.0	2	16	39	39	0.718	28	4	0	{'policy makers': 1, 'interest rates': 1, 'immediate impact': 1, 'wage-price spiral': 1}	{}	NEG	NEG	Extremely negative	Extremely intense	[]
63	20-5-07	50	0	3	1	2	8	0	283	16	0	0	0	0	{}	{}	{}	{}	26	1	0	2	10	7	0	54.0	2	22	54	54	0.759	41	7	0	{'first inflation target': 1, 'bank of england': 1, 'consumer prices index': 1, 'owner-occupied housing costs': 1}	{'Norman Lamont': 1}	POS	NEU	Neutral	Factual	[]
64	20-5-07	0	100	4	0	0	10	0	280	19	0	0	0	0	{}	{}	{}	{}	25	1	2	1	9	5	0	54.0	1	18	54	54	0.741	40	6	0	{'global economy': 1, 'percent target': 1, 'half-yearly health check': 1, 'organisation for economic': 1, 'consumer prices index': 1}	{'Economic Cooperation': 1}	NEG	NEG	Extremely negative	Extremely intense	[]
65	20-5-07	50	100	2	1	0	10	0	213	15	0	0	0	0	{}	{}	{}	{}	17	1	1	1	8	0	0	41.0	0	16	41	41	0.707	29	5	0	{'10th birthday': 1, 'monetary policy committee': 1}	{}	POS	POS	Slightly positive	Extremely intense	[]
66	20-5-07	50	0	1	0	0	11	0	152	11	0	0	0	0	{}	{}	{}	{}	15	1	1	1	3	0	0	30.0	1	16	30	30	0.9	27	3	0	"{'percent target': 1, 'electricity bills': 1, 'consumer price inflation': 1, ""last year''s rises"": 1}"	{}	POS	NEU	Neutral	Factual	[]
67	20-5-07	33	100	2	0	0	13	0	273	20	0	0	0	0	{}	{}	{}	{}	25	1	5	2	7	5	0	54.0	1	14	54	54	0.815	44	6	0	"{""bank''s governor"": 1, 'open letter': 1, 'percentage point': 1, 'government-set target': 1, 'consumer price index': 1}"	{'Mervyn King': 1, 'Gordon Brown': 1}	NEG	NEG	Fairly negative	Extremely intense	[]
68	20-5-07	100	100	4	0	1	10	0	177	12	0	0	0	0	{}	{}	{}	{}	17	1	2	0	4	1	0	33.0	0	12	33	33	0.848	28	2	0	{'rapid rise': 1, 'pricing power': 1, 'strong economic growth': 1, 'rise in money': 1, 'money supply growth': 1, 're-emergence of pricing': 1, 'power among firms': 1}	{}	POS	POS	Extremely positive	Extremely intense	[]
69	20-5-07	60	100	4	1	1	14	0	292	23	0	0	0	0	{}	{}	{}	{}	27	1	4	2	8	4	0	60.0	2	19	60	60	0.75	45	4	0	"{'percent increase': 1, 'inflation pressures': 1, 'chief economist': 1, ""need for today''s"": 1, ""today''s rate rise"": 1}"	{'Ian Mccafferty': 1}	POS	POS	Fairly positive	Extremely intense	[50.0, 50.0, 0.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 75.0]
70	20-5-07	66	100	2	0	1	7	0	143	14	0	0	0	0	{}	{}	{}	{}	12	1	1	1	2	1	0	29.0	1	10	29	29	0.897	26	2	0	{'big cuts': 1, 'electricity prices': 1, 'percent target': 1, 'cuts in gas': 1}	{}	POS	POS	Fairly positive	Extremely intense	[]
71	20-5-07	50	100	3	0	0	8	0	170	13	0	0	0	0	{}	{}	{}	{}	15	1	3	0	4	1	0	32.0	0	8	32	32	0.781	25	3	0	{'uninterrupted manner': 1, 'low inflation': 1, 'living standards': 1, 'steady and uninterrupted': 1}	{}	POS	POS	Slightly positive	Extremely intense	[]
72	20-5-07	0	100	1	2	0	12	0	236	18	0	0	0	0	{}	{}	{}	{}	21	1	1	0	4	2	0	43.0	0	17	43	43	0.814	35	4	0	{'age-old problem': 1, 'trade deficit': 1, 'excess demand': 1, 'britain under labour': 1, 'problem of inflation': 1, 'evidence of excess': 1}	{}	NEG	NEG	Extremely negative	Extremely intense	[]
73	20-5-07	0	100	1	2	0	12	0	236	18	0	0	0	0	{}	{}	{}	{}	21	1	1	0	4	2	0	43.0	0	17	43	43	0.814	35	4	0	{'age-old problem': 1, 'trade deficit': 1, 'excess demand': 1, 'britain under labour': 1, 'problem of inflation': 1, 'evidence of excess': 1}	{}	NEG	NEG	Extremely negative	Extremely intense	[]
74	20-5-07	33	100	2	1	0	14	0	326	26	0	0	0	0	{}	{}	{}	{}	25	1	3	2	13	1	0	66.0	2	18	66	66	0.742	49	7	0	"{""one''s income"": 1, 'rate of inflation': 1, ""percent of one''s"": 1, 'income in mortgage': 1, 'mortgage cost-to-income ratio': 1}"	{}	NEG	NEG	Fairly negative	Extremely intense	[]
75	20-5-07	33	100	2	1	0	14	0	326	26	0	0	0	0	{}	{}	{}	{}	25	1	3	2	13	1	0	66.0	2	18	66	66	0.742	49	7	0	"{""one''s income"": 1, 'rate of inflation': 1, ""percent of one''s"": 1, 'income in mortgage': 1, 'mortgage cost-to-income ratio': 1}"	{}	NEG	NEG	Fairly negative	Extremely intense	[]
76	20-5-07	33	100	2	1	0	14	0	325	26	0	0	0	0	{}	{}	{}	{}	25	1	3	2	13	1	0	66.0	2	18	66	66	0.742	49	7	0	"{""one''s income"": 1, 'rate of inflation': 1, ""percent of one''s"": 1, 'income in mortgage': 1, 'mortgage cost-to-income ratio': 1}"	{}	NEG	NEG	Fairly negative	Extremely intense	[]
77	20-5-07	100	50	2	0	0	5	1	131	10	0	0	0	0	{}	{}	{}	{}	9	1	1	3	7	0	0	29.0	3	7	29	29	0.759	22	2	0	{'low inflation environment': 1}	{}	POS	POS	Extremely positive	Factual	[]
78	20-5-07	39	100	3	0	0	13	0	304	22	0	0	0	0	{}	{}	{}	{}	27	1	2	2	9	3	0	60.0	2	21	60	60	0.717	43	8	0	{'house-price inflation': 1, 'home ownership': 1, 'first time': 1, 'ever-more-unattainable goal': 1}	{}	NEG	NEG	Fairly negative	Extremely intense	[]
79	20-5-07	99	100	1	1	3	18	0	357	19	0	0	0	0	{}	{}	{}	{}	35	1	2	9	2	9	0	65.0	7	29	65	65	0.8	52	8	0	"{""street''s rate"": 1, 'bank holiday': 1, ""bank''s inflation controllers"": 1, ""not-so-nice threadneedle street''s"": 1, 'game of tennis': 1}"	{'Mervyn King': 1}	POS	POS	Extremely positive	Extremely intense	[]
80	20-5-07	50	100	2	0	0	10	0	149	12	0	0	0	0	{}	{}	{}	{}	14	1	5	1	4	0	0	31.0	1	6	31	31	0.774	24	2	0	{'last month': 1, 'first time': 1, 'percentage point': 1, 'percent target': 1, 'time since independence': 1}	{}	POS	POS	Slightly positive	Extremely intense	[]
81	20-5-07	0	100	4	1	0	16	0	310	20	0	0	0	0	{}	{}	{}	{}	28	1	1	0	6	3	0	54.0	0	23	54	54	0.741	40	4	0	"{'original members': 1, ""bank''s decision"": 1, 'large amounts': 1, 'cheap credit': 1, 'reason inflation': 1, 'fire from economists': 1, 'amber warning signals': 1}"	{'Mr King': 1}	NEG	NEG	Extremely negative	Extremely intense	[]
82	20-5-07	33	100	2	0	0	8	0	160	11	0	0	0	0	{}	{}	{}	{}	14	1	2	0	3	0	0	28.0	0	12	28	28	0.821	23	4	0	{'last night': 1, 'inflation changes': 1, 'money supply': 1, 'signals about inflation': 1}	{}	NEG	NEG	Fairly negative	Extremely intense	[]
83	20-5-07	50	0	2	0	0	4	1	123	7	0	0	0	0	{}	{}	{}	{}	11	1	1	1	6	2	0	25.0	1	7	25	25	0.76	19	3	0	{'big step': 1, 'monetary policy': 1}	{'Norman Lamont': 1}	NEG	NEU	Neutral	Factual	[]
84	20-5-07	0	100	1	0	0	5	0	80	7	0	0	0	0	{}	{}	{}	{}	5	1	0	2	3	0	0	17.0	1	6	17	17	0.824	14	0	0	{'treasury-set target': 1, 'deviation of inflation': 1}	{}	NEG	NEG	Extremely negative	Extremely intense	[]
85	20-5-07	50	100	1	0	0	5	0	116	13	0	0	0	0	{}	{}	{}	{}	9	1	4	0	3	0	0	25.0	0	4	25	25	0.88	22	3	0	{'central bank': 1}	{}	POS	POS	Slightly positive	Extremely intense	[]
86	20-5-07	100	50	3	0	0	10	0	228	19	0	0	0	0	{}	{}	{}	{}	20	1	4	1	5	2	0	45.0	1	13	45	45	0.822	37	5	0	{'domestic inflation': 1, 'five-year high': 1, 'benchmark interest rate': 1}	{}	POS	POS	Extremely positive	Factual	[]
87	20-5-07	0	100	1	0	0	6	0	117	10	0	0	0	0	{}	{}	{}	{}	9	1	1	0	3	0	0	22.0	0	7	22	22	0.864	19	2	0	{'lower-price supplies': 1, 'domestic market': 1, 'flood of lower-price': 1}	{}	NEG	NEG	Extremely negative	Extremely intense	[]
