ID	Item	Cooccurrences	Candidates	T-score	MI	LogDice
158	accord-v	3	1508	1.72258	7.51463	5.73478
161	bank-n	6	3432	2.43425	7.32822	5.70461
162	month-n	4	2201	1.98803	7.38414	5.68996
164	United-n	3	1598	1.72201	7.43100	5.66610
165	take-v	6	3539	2.43377	7.28392	5.66424
166	work-v	4	2261	1.98770	7.34534	5.65626
172	well-a	3	1790	1.72081	7.26731	5.52968
173	industry-n	3	1814	1.72066	7.24809	5.51350
174	be-v	101	72535	9.97136	6.99991	5.50511
176	way-n	3	1944	1.71984	7.14824	5.42888
180	so-a	4	2843	1.98454	7.01489	5.36474
181	money-n	3	2091	1.71892	7.04307	5.33882
182	see-v	3	2107	1.71882	7.03207	5.32934
183	big-j	3	2167	1.71844	6.99157	5.29437
184	also-a	5	3859	2.21729	6.89600	5.28679
192	say-v	22	19915	4.64422	6.66595	5.15358
193	not-a	14	12893	3.70417	6.64114	5.11572
194	have-v	30	28332	5.42095	6.60483	5.09964
195	new-j	4	3529	1.98080	6.70304	5.08300
197	other-j	4	3710	1.97982	6.63088	5.01701
200	#NAME?	8	8548	2.79555	6.42672	4.88268
203	make-v	4	4999	1.97281	6.20066	4.61819
205	#NAME?	33	45475	5.65844	6.05969	4.56092
211	he-d	5	12673	2.17441	5.18054	3.65448
