ID	Item	Cooccurrences	Candidates	T-score	MI	LogDice
265	absence-n	3	94	1.73013	9.81605	6.36338	
266	surge-v	3	95	1.73011	9.80079	6.36217	
267	account-n	6	1298	2.43073	7.02857	6.35735	
269	predict-v	4	505	1.99106	7.80554	6.35164	
271	rouble-n	3	106	1.72988	9.64272	6.34895	
272	consistently-a	3	106	1.72988	9.64272	6.34895	
273	less-j	6	1324	2.43035	6.99995	6.34179	
275	[number]-m	208	83093	14.21822	6.14368	6.33903	
276	hold-n	3	116	1.72968	9.51266	6.33703	
277	Mario-n	3	116	1.72968	9.51266	6.33703	
278	minimum-n	3	123	1.72954	9.42813	6.32875	
279	MPC-n	3	125	1.72950	9.40486	6.32640	
281	justify-v	3	130	1.72939	9.34827	6.32052	
282	kantar-n	3	137	1.72925	9.27261	6.31233	
283	significant-j	5	962	2.22084	7.19771	6.31210	
285	project-v	3	139	1.72921	9.25170	6.31000	
286	economist-n	5	971	2.22069	7.18428	6.30582	
287	welcome-j	3	147	1.72905	9.17097	6.30072	
288	early-j	6	1396	2.42931	6.92356	6.29956	
289	calculate-v	3	148	1.72903	9.16119	6.29956	
290	long-j	6	1398	2.42928	6.92149	6.29840	
291	trigger-v	3	149	1.72901	9.15147	6.29840	
292	reason-n	5	988	2.22042	7.15924	6.29402	
293	spending-n	5	989	2.22041	7.15778	6.29333	
294	recession-n	4	577	1.98979	7.61325	6.28833	
295	touch-n	3	158	1.72882	9.06686	6.28805	
296	actual-j	3	159	1.72880	9.05776	6.28690	
297	last-j	19	6878	4.30303	6.28583	6.28612	
298	temporary-j	3	160	1.72878	9.04871	6.28575	
302	era-n	3	183	1.72831	8.85494	6.25966	
303	mark-n	3	184	1.72829	8.84708	6.25853	
304	little-j	5	1047	2.21949	7.07556	6.25382	
305	offset-v	3	190	1.72817	8.80079	6.25181	
306	money-n	9	2771	2.96730	6.51941	6.25143	
308	near-j	3	192	1.72813	8.78568	6.24957	
310	burden-n	3	193	1.72811	8.77818	6.24846	
311	strengthen-v	3	196	1.72804	8.75593	6.24511	
312	card-n	4	634	1.98878	7.47734	6.24011	
313	survey-n	4	634	1.98878	7.47734	6.24011	
314	milk-n	3	204	1.72788	8.69822	6.23623	
315	as-a	13	4555	3.56082	6.33288	6.23513	
316	increase-v	8	2387	2.79855	6.56470	6.23223	
317	stimulus-n	3	209	1.72778	8.66328	6.23071	
318	general-j	4	652	1.98846	7.43695	6.22521	
319	provide-v	8	2409	2.79827	6.55146	6.22316	
320	Europe-n	6	1540	2.42723	6.78193	6.21864	
321	rapid-j	3	220	1.72755	8.58928	6.21864	
322	combination-n	3	222	1.72751	8.57622	6.21646	
323	stability-n	3	225	1.72745	8.55686	6.21319	
324	yield-n	3	228	1.72739	8.53775	6.20992	
325	profile-n	3	230	1.72735	8.52515	6.20775	
326	education-n	4	675	1.98805	7.38693	6.20640	
328	see-v	13	4679	3.55961	6.29413	6.20384	
329	energy-n	9	2901	2.96576	6.45327	6.20378	
330	official-j	3	234	1.72727	8.50028	6.20342	
331	region-n	4	687	1.98784	7.36151	6.19668	
332	October-n	4	688	1.98782	7.35941	6.19587	
333	due-j	4	695	1.98770	7.34481	6.19023	
334	producer-n	4	699	1.98763	7.33653	6.18702	
335	short-term-j	3	258	1.72678	8.35941	6.17769	
336	least-j	5	1172	2.21751	6.91285	6.17218	
337	path-n	3	265	1.72663	8.32079	6.17028	
338	take-v	18	7120	4.18322	6.15794	6.16500	
340	stop-v	4	731	1.98706	7.27195	6.16158	
342	initially-a	3	275	1.72643	8.26735	6.15975	
344	focus-v	5	1198	2.21710	6.88119	6.15577	
345	next-j	8	2590	2.79601	6.44694	6.15059	
346	more-a	16	6281	3.94440	6.16890	6.15040	
347	guidance-n	3	293	1.72606	8.17588	6.14098	
348	time-n	16	6373	3.94359	6.14792	6.13253	
350	cause-v	4	776	1.98626	7.18577	6.12656	
351	release-v	4	776	1.98626	7.18577	6.12656	
352	retailer-n	7	2187	2.61649	6.49830	6.12480	
353	catch-v	3	315	1.72561	8.07143	6.11838	
355	more-j	22	9323	4.62004	6.05853	6.11195	
356	relation-n	3	332	1.72526	7.99560	6.10115	
357	negative-j	3	341	1.72508	7.95701	6.09211	
359	generally-a	3	344	1.72502	7.94438	6.08911	
360	strength-n	3	348	1.72494	7.92770	6.08512	
361	speak-v	4	832	1.98527	7.08524	6.08412	
362	grocery-n	3	349	1.72492	7.92356	6.08412	
363	poor-j	4	838	1.98517	7.07487	6.07965	
364	fiscal-j	3	358	1.72473	7.88683	6.07519	
365	week-n	9	3300	2.96105	6.26735	6.06664	
366	September-n	5	1348	2.21472	6.71100	6.06454	
367	once-a	4	859	1.98479	7.03916	6.06410	
368	be-v	303	147672	17.10653	5.85682	6.06043	
370	concern-v	3	379	1.72430	7.80459	6.05456	
371	not-a	49	23168	6.88282	5.90054	6.04794	
373	highlight-v	3	392	1.72404	7.75593	6.04193	
374	news-n	5	1387	2.21411	6.66985	6.04174	
375	debt-n	5	1389	2.21407	6.66778	6.04058	
376	inbox-n	3	394	1.72400	7.74859	6.04000	
378	governor-n	3	405	1.72377	7.70886	6.02941	
379	however-a	6	1910	2.42188	6.47128	6.02941	
380	certainly-a	3	423	1.72340	7.64613	6.01226	
381	productivity-n	3	423	1.72340	7.64613	6.01226	
382	year-n	34	16172	5.73276	5.89193	6.01132	
384	close-j	3	439	1.72308	7.59256	5.99718	
387	update-v	3	452	1.72281	7.55046	5.98505	
389	Britain-n	5	1490	2.21248	6.56651	5.98319	
390	just-a	11	4613	3.26738	6.07362	5.97940	
391	fast-j	3	459	1.72267	7.52829	5.97856	
392	lead-v	7	2564	2.61144	6.26885	5.96815	
394	broad-j	3	473	1.72238	7.48494	5.96566	
395	Paul-n	3	478	1.72228	7.46977	5.96108	
396	look-v	8	3135	2.78918	6.17143	5.95185	
398	past-j	4	1025	1.98185	6.78427	5.94675	
399	market-n	16	7428	3.93425	5.92692	5.94201	
401	very-a	7	2639	2.61044	6.22726	5.93892	
402	majority-n	3	504	1.72175	7.39336	5.93750	
403	population-n	3	504	1.72175	7.39336	5.93750	
404	Tuesday-n	5	1576	2.21111	6.48555	5.93607	
405	headline-n	3	508	1.72167	7.38196	5.93391	
406	factor-n	3	514	1.72154	7.36502	5.92854	
407	item-n	3	519	1.72144	7.35105	5.92408	
408	face-v	5	1605	2.21065	6.45925	5.92052	
409	sure-j	3	525	1.72132	7.33447	5.91874	
411	establish-v	3	532	1.72118	7.31536	5.91254	
412	domestic-j	3	533	1.72116	7.31265	5.91165	
414	believe-v	5	1623	2.21037	6.44316	5.91095	
415	seek-v	4	1079	1.98090	6.71020	5.91055	
417	confidence-n	3	537	1.72107	7.30186	5.90812	
418	summer-n	3	539	1.72103	7.29650	5.90636	
419	compare-v	4	1090	1.98070	6.69557	5.90328	
420	perhaps-a	3	543	1.72095	7.28583	5.90285	
421	allow-v	5	1644	2.21004	6.42461	5.89986	
422	photograph-n	8	3293	2.78721	6.10049	5.89901	
423	same-j	6	2196	2.41775	6.26998	5.89846	
424	decision-n	5	1651	2.20993	6.41848	5.89619	
425	never-a	4	1125	1.98008	6.64997	5.88041	
426	average-n	3	572	1.72036	7.21077	5.87760	
427	contribute-v	3	577	1.72026	7.19821	5.87330	
429	need-v	10	4513	3.11175	5.96774	5.86737	
430	short-j	3	587	1.72005	7.17342	5.86472	
431	only-a	8	3414	2.78569	6.04843	5.85981	
432	retail-j	4	1166	1.97936	6.59833	5.85407	
433	have-v	97	53936	9.65497	5.66663	5.85182	
435	decade-n	4	1186	1.97900	6.57379	5.84139	
436	March-n	4	1190	1.97893	6.56893	5.83887	
438	about-a	8	3488	2.78477	6.01749	5.83635	
439	drop-v	3	625	1.71928	7.08293	5.83258	
440	much-a	6	2361	2.41536	6.16546	5.82799	
441	grow-v	7	2949	2.60629	6.06702	5.82400	
442	point-v	3	637	1.71903	7.05549	5.82258	
443	prove-v	3	638	1.71901	7.05323	5.82175	
444	begin-v	5	1808	2.20744	6.28743	5.81612	
446	already-a	6	2402	2.41477	6.14062	5.81100	
447	start-v	7	2987	2.60578	6.04855	5.81053	
448	well-a	9	4206	2.95036	5.91737	5.79652	
449	act-v	3	672	1.71831	6.97832	5.79380	
450	down-a	4	1265	1.97761	6.48076	5.79238	
451	bring-v	5	1857	2.20666	6.24885	5.79201	
452	United-n	5	1862	2.20659	6.24497	5.78957	
453	positive-j	3	681	1.71813	6.95913	5.78649	
454	long-a	3	682	1.71811	6.95701	5.78568	
456	#NAME?	120	70212	10.72752	5.59314	5.78503	
457	affect-v	3	691	1.71793	6.93810	5.77841	
458	reduce-v	5	1916	2.20573	6.20372	5.76351	
459	almost-a	4	1341	1.97626	6.39658	5.74674	
460	many-j	9	4414	2.94791	5.84773	5.74104	
461	much-j	4	1371	1.97573	6.36467	5.72912	
462	stock-n	4	1373	1.97569	6.36256	5.72795	
464	tax-n	7	3236	2.60245	5.93304	5.72521	
465	especially-a	3	764	1.71643	6.79321	5.72078	
466	government-n	9	4514	2.94673	5.81541	5.71511	
468	job-n	7	3279	2.60187	5.91399	5.71097	
469	line-n	4	1405	1.97513	6.32932	5.70941	
471	Reuters-n	3	800	1.71570	6.72678	5.69318	
472	most-a	6	2711	2.41030	5.96603	5.68901	
473	require-v	4	1450	1.97433	6.28384	5.68372	
474	achieve-v	3	815	1.71539	6.69998	5.68183	
476	condition-n	3	822	1.71525	6.68765	5.67657	
477	number-n	6	2753	2.40970	5.94385	5.67320	
478	out-a	3	829	1.71511	6.67541	5.67133	
479	Germany-n	3	834	1.71500	6.66674	5.66759	
481	States-n	4	1500	1.97345	6.23493	5.65570	
484	use-v	10	5440	3.10137	5.69822	5.64685	
485	cut-n	3	868	1.71431	6.60909	5.64245	
486	quarter-n	4	1527	1.97297	6.20919	5.64080	
487	further-j	3	871	1.71425	6.60411	5.64025	
488	improve-v	4	1538	1.97277	6.19884	5.63477	
489	fact-n	3	931	1.71302	6.50800	5.59699	
491	potential-j	3	947	1.71269	6.48342	5.58567	
492	develop-v	4	1635	1.97106	6.11060	5.58267	
493	property-n	3	960	1.71243	6.46375	5.57653	
494	move-v	4	1658	1.97065	6.09045	5.57059	
495	send-v	3	972	1.71218	6.44583	5.56815	
497	oil-n	5	2361	2.19868	5.90242	5.56495	
498	change-n	6	3058	2.40529	5.79227	5.56329	
499	come-v	9	5154	2.93917	5.62413	5.55936	
500	bonus-n	3	990	1.71181	6.41936	5.55568	
501	point-n	4	1696	1.96998	6.05776	5.55085	
502	end-n	4	1724	1.96948	6.03413	5.53648	
504	result-n	4	1732	1.96934	6.02746	5.53239	
506	change-v	4	1778	1.96852	5.98964	5.50915	
507	Ms.-n	4	1788	1.96835	5.98155	5.50414	
510	say-v	44	31061	6.46746	5.32229	5.48641	
511	global-j	5	2560	2.19553	5.78568	5.48430	
513	fail-v	3	1111	1.70934	6.25300	5.47448	
515	future-n	3	1130	1.70895	6.22853	5.46213	
516	two-m	7	4114	2.59070	5.58671	5.45918	
517	several-j	3	1140	1.70875	6.21582	5.45568	
518	way-n	7	4180	2.58981	5.56375	5.44103	
519	do-v	21	14778	4.46840	5.32683	5.43758	
520	bank-n	8	4950	2.76646	5.51247	5.43728	
522	yet-a	3	1238	1.70674	6.09685	5.39390	
523	up-a	4	2019	1.96426	5.80625	5.39313	
525	go-v	9	5936	2.92994	5.42033	5.38939	
526	include-v	8	5216	2.76314	5.43695	5.37520	
527	trade-n	3	1278	1.70593	6.05097	5.36943	
528	benefit-n	3	1279	1.70591	6.04984	5.36882	
529	meet-v	3	1325	1.70497	5.99886	5.34119	
530	income-n	3	1328	1.70490	5.99560	5.33941	
531	something-n	3	1332	1.70482	5.99126	5.33703	
533	cut-v	3	1426	1.70290	5.89288	5.28232	
534	supply-n	3	1458	1.70225	5.86087	5.26416	
536	demand-n	3	1507	1.70125	5.81318	5.23679	
537	major-j	3	1534	1.70069	5.78756	5.22192	
538	economic-j	4	2421	1.95714	5.54429	5.21823	
539	BST-n	5	3347	2.18307	5.39895	5.20331	
540	Credit-n	3	1575	1.69986	5.74950	5.19964	
541	publish-v	4	2471	1.95626	5.51480	5.19789	
542	state-n	3	1591	1.69953	5.73492	5.19104	
544	problem-n	4	2540	1.95504	5.47507	5.17028	
546	US-n	5	3478	2.18100	5.34356	5.16143	
547	financial-j	5	3518	2.18037	5.32707	5.14888	
548	get-v	8	6302	2.74954	5.16408	5.14630	
549	Wednesday-n	3	1678	1.69775	5.65811	5.14513	
550	such-j	5	3544	2.17995	5.31644	5.14078	
551	impact-n	3	1719	1.69691	5.62329	5.12399	
552	follow-v	3	1754	1.69620	5.59421	5.10619	
554	create-v	4	2803	1.95038	5.33292	5.06963	
557	public-j	3	1916	1.69289	5.46676	5.02654	
558	big-j	6	5004	2.37716	5.08177	5.00942	
559	worker-n	3	2085	1.68943	5.34481	4.94788	
561	sector-n	3	2177	1.68755	5.28252	4.90680	
562	GMT-n	3	2228	1.68651	5.24911	4.88452	
566	thing-n	3	2479	1.68138	5.09510	4.77962	
567	one-m	7	7819	2.54112	4.66026	4.68469	
568	three-m	3	2823	1.67435	4.90763	4.64722	
569	TMs-n	3	3043	1.66985	4.79936	4.56850	
573	group-n	3	3480	1.66092	4.60577	4.42383	
576	become-v	3	3674	1.65695	4.52750	4.36398	
578	pay-v	3	3861	1.65313	4.45588	4.30855	
580	Mr.-n	5	7649	2.11496	4.20655	4.22703	
581	product-n	3	4300	1.64415	4.30052	4.18622	
583	work-v	3	5339	1.62292	3.98829	3.93234	
585	good-j	3	5441	1.62083	3.96098	3.90967	
586	make-v	5	10808	2.06494	3.70779	3.78228	
587	people-n	3	7531	1.57811	3.49202	3.50965	
590	business-n	3	13416	1.45781	2.65897	2.75961	
